object,id,created_time,last_edited_time,cover,archived,in_trash,url,public_url,created_by.object,created_by.id,last_edited_by.object,last_edited_by.id,icon.type,icon.external.url,parent.type,parent.database_id,properties.Ville.id,properties.Ville.type,properties.Ville.select.id,properties.Ville.select.name,properties.Ville.select.color,properties.Niveau d’effort.id,properties.Niveau d’effort.type,properties.Niveau d’effort.select.id,properties.Niveau d’effort.select.name,properties.Niveau d’effort.select.color,properties.Classe.id,properties.Classe.type,properties.Classe.select.id,properties.Classe.select.name,properties.Classe.select.color,properties.Date de fin.id,properties.Date de fin.type,properties.Date de fin.date,properties.Total.id,properties.Total.type,properties.Total.formula.type,properties.Total.formula.number,properties.Ecole.id,properties.Ecole.type,properties.Ecole.select.id,properties.Ecole.select.name,properties.Ecole.select.color,properties.Description.id,properties.Description.type,properties.Description.rich_text,properties.Nombre heures.id,properties.Nombre heures.type,properties.Nombre heures.number,properties.Type de tâche.id,properties.Type de tâche.type,properties.Type de tâche.select.id,properties.Type de tâche.select.name,properties.Type de tâche.select.color,properties.En souffrance.id,properties.En souffrance.type,properties.En souffrance.formula.type,properties.En souffrance.formula.string,properties.Personne assignée.id,properties.Personne assignée.type,properties.Personne assignée.people,properties.État.id,properties.État.type,properties.État.status.id,properties.État.status.name,properties.État.status.color,properties.Facturé.id,properties.Facturé.type,properties.Facturé.checkbox,properties.ID de facture.id,properties.ID de facture.type,properties.ID de facture.select,properties.Priorité.id,properties.Priorité.type,properties.Priorité.select.id,properties.Priorité.select.name,properties.Priorité.select.color,properties.Tarif horaire.id,properties.Tarif horaire.type,properties.Tarif horaire.number,properties.A facturer.id,properties.A facturer.type,properties.A facturer.select.id,properties.A facturer.select.name,properties.A facturer.select.color,properties.Date de début.id,properties.Date de début.type,properties.Date de début.date.start,properties.Date de début.date.end,properties.Date de début.date.time_zone,properties.Contenu de cours.id,properties.Contenu de cours.type,properties.Contenu de cours.relation,properties.Contenu de cours.has_more,properties.Cours.id,properties.Cours.type,properties.Cours.title,properties.Niveau d’effort.select,properties.Date de fin.date.start,properties.Date de fin.date.end,properties.Date de fin.date.time_zone,properties.Type de tâche.select,properties.Priorité.select
page,20f2cdbb-4757-813a-809f-ce703246ddf5,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/R-gression-lin-aire-session-3-20f2cdbb4757813a809fce703246ddf5,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,174c7d92-91c1-4e88-8ece-42edf5f92c89,Evry,red,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,1b1bcbf5-de31-41b5-8b09-f744c41741f1,M1 Maths,orange,BC%7BD,date,,E%5DAO,formula,number,35.0,GDGQ,select,64c5008c-0326-4d4f-9e11-770b16d786c8,ENSIIE,orange,J%3AF%5B,rich_text,[],JjGy,number,3.5,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,,Qv%5Dw,people,[],S%5E%3Ed,status,2882bc4e-da9f-4eb2-a695-c9b64a3c9899,Pas commencé,default,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,56939683-8650-4d96-91e1-0a9d1d1f4a13,Moyenne,yellow,%60_Pc,number,10,dF%3AB,select,e2ed5c32-9f2f-4c45-a567-486e828fa690,False,brown,hjFQ,date,2025-07-02,,,rDxR,relation,[{'id': '20f2cdbb-4757-81e3-b2d5-f52e43046ff5'}],False,title,title,"[{'type': 'text', 'text': {'content': 'Régression linéaire session 3', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Régression linéaire session 3', 'href': None}]",,,,,,
page,20f2cdbb-4757-815a-a25d-e049bd603448,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Innovation-en-IA-Transformation-des-organisations-partie-1-20f2cdbb4757815aa25de049bd603448,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,f19b6eb9-8259-4e8b-bf70-29e154dfac65,Le Kremlin-Bicêtre,default,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,b4f0bb80-bba0-4b83-886d-33e206db9eb6,M1,gray,BC%7BD,date,,E%5DAO,formula,number,70.0,GDGQ,select,8a6b5b53-1dbd-4449-8c89-419f54def5a0,EPITECH Digital,purple,J%3AF%5B,rich_text,[],JjGy,number,7.0,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,10,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-03-05,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': 'Innovation en IA & Transformation des organisations partie 1', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Innovation en IA & Transformation des organisations partie 1', 'href': None}]",,,,,,
page,20f2cdbb-4757-812f-9eeb-d78d684ddd19,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Math-matiques-pour-l-informatique-session-2-20f2cdbb4757812f9eebd78d684ddd19,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,f7b3a34a-b572-41c4-91c6-30e2937b691b,BTS SIO,red,BC%7BD,date,,E%5DAO,formula,number,52.5,GDGQ,select,5381ceab-6724-46c2-932d-839395c80710,NEXA Digital School,brown,J%3AF%5B,rich_text,[],JjGy,number,3.5,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,15,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-05-23,,,rDxR,relation,[{'id': '20f2cdbb-4757-81e3-b2d5-f52e43046ff5'}],False,title,title,"[{'type': 'text', 'text': {'content': 'Mathématiques pour l’informatique session 2', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Mathématiques pour l’informatique session 2', 'href': None}]",,,,,,
page,20f2cdbb-4757-814e-babc-d7969c9bd2bc,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Innovation-en-IA-Transformation-des-organisations-partie-2-20f2cdbb4757814ebabcd7969c9bd2bc,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,f19b6eb9-8259-4e8b-bf70-29e154dfac65,Le Kremlin-Bicêtre,default,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,b4f0bb80-bba0-4b83-886d-33e206db9eb6,M1,gray,BC%7BD,date,,E%5DAO,formula,number,70.0,GDGQ,select,8a6b5b53-1dbd-4449-8c89-419f54def5a0,EPITECH Digital,purple,J%3AF%5B,rich_text,[],JjGy,number,7.0,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,10,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-03-19,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': ' Innovation en IA & Transformation des organisations partie 2', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': ' Innovation en IA & Transformation des organisations partie 2', 'href': None}]",,,,,,
page,20f2cdbb-4757-81ad-acb8-e85c99bbf6d2,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Innovation-en-IA-Transformation-des-organisations-partie-1-20f2cdbb475781adacb8e85c99bbf6d2,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,b4f0bb80-bba0-4b83-886d-33e206db9eb6,M1,gray,BC%7BD,date,,E%5DAO,formula,number,70.0,GDGQ,select,dfbc5b84-5963-4a7b-a956-031282c6f02e,ECE,red,J%3AF%5B,rich_text,[],JjGy,number,7.0,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,10,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-03-05,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': 'Innovation en IA & Transformation des organisations partie 1', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Innovation en IA & Transformation des organisations partie 1', 'href': None}]",,,,,,
page,20f2cdbb-4757-8103-8265-c61ff6c23a08,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Math-matiques-pour-l-informatique-session-3-20f2cdbb475781038265c61ff6c23a08,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,f7b3a34a-b572-41c4-91c6-30e2937b691b,BTS SIO,red,BC%7BD,date,,E%5DAO,formula,number,52.5,GDGQ,select,5381ceab-6724-46c2-932d-839395c80710,NEXA Digital School,brown,J%3AF%5B,rich_text,[],JjGy,number,3.5,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,,Qv%5Dw,people,[],S%5E%3Ed,status,2882bc4e-da9f-4eb2-a695-c9b64a3c9899,Pas commencé,default,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,56939683-8650-4d96-91e1-0a9d1d1f4a13,Moyenne,yellow,%60_Pc,number,15,dF%3AB,select,e2ed5c32-9f2f-4c45-a567-486e828fa690,False,brown,hjFQ,date,2025-07-09,,,rDxR,relation,[{'id': '20f2cdbb-4757-81e3-b2d5-f52e43046ff5'}],False,title,title,"[{'type': 'text', 'text': {'content': 'Mathématiques pour l’informatique session 3', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Mathématiques pour l’informatique session 3', 'href': None}]",,,,,,
page,20f2cdbb-4757-8121-974f-f59320c31495,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Math-matiques-pour-l-informatique-session-2-20f2cdbb47578121974ff59320c31495,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,6909ef26-d42f-4677-9602-b3789e59a4b1,L3,blue,BC%7BD,date,,E%5DAO,formula,number,52.5,GDGQ,select,dfbc5b84-5963-4a7b-a956-031282c6f02e,ECE,red,J%3AF%5B,rich_text,[],JjGy,number,3.5,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,15,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-05-16,,,rDxR,relation,[{'id': '20f2cdbb-4757-81e3-b2d5-f52e43046ff5'}],False,title,title,"[{'type': 'text', 'text': {'content': 'Mathématiques pour l’informatique session 2', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Mathématiques pour l’informatique session 2', 'href': None}]",,,,,,
page,20f2cdbb-4757-8166-a392-e7a652ab02dd,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Innovation-en-IA-Transformation-des-organisations-partie-2-20f2cdbb47578166a392e7a652ab02dd,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,b4f0bb80-bba0-4b83-886d-33e206db9eb6,M1,gray,BC%7BD,date,,E%5DAO,formula,number,70.0,GDGQ,select,dfbc5b84-5963-4a7b-a956-031282c6f02e,ECE,red,J%3AF%5B,rich_text,[],JjGy,number,7.0,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,10,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-03-19,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': ' Innovation en IA & Transformation des organisations partie 2', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': ' Innovation en IA & Transformation des organisations partie 2', 'href': None}]",,,,,,
page,20f2cdbb-4757-81cf-9714-f8c40e820e20,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Programmation-avec-Python-Introduction-20f2cdbb475781cf9714f8c40e820e20,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,1e5efd24-9bf4-4767-91c4-5724426627d7,Noisy-le-Grand,pink,%3BoM%7C,select,,,,%3D%3C%60%40,select,76c26267-9e9f-4e8c-8631-44729b1c4de4,M2 EDWEB,pink,BC%7BD,date,,E%5DAO,formula,number,140.0,GDGQ,select,e4fcc17a-ab67-43a0-a119-87b3f79e85fb,ESIEE,gray,J%3AF%5B,rich_text,[],JjGy,number,28.0,L~%5D%3E,select,e692647e-d5dd-444e-a582-b43f159c6bcf,Cours présenté,green,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,2150867b-0a8d-4a4e-9135-850e487ebad7,Terminé,green,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red,%60_Pc,number,5,dF%3AB,select,d67cf60e-083f-48a0-a165-0a31c7710868,True,yellow,hjFQ,date,2025-04-25,,,rDxR,relation,[{'id': '20f2cdbb-4757-811e-9f11-c463255b8617'}],False,title,title,"[{'type': 'text', 'text': {'content': 'Programmation avec Python - Introduction', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Programmation avec Python - Introduction', 'href': None}]",,2025-05-03,,,,
page,20f2cdbb-4757-8115-bbd3-d0ff1b501700,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Math-matiques-pour-l-informatique-session-5-20f2cdbb47578115bbd3d0ff1b501700,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,1993545d-653e-48d0-9496-cfc698410019,Élevé,red,%3D%3C%60%40,select,6909ef26-d42f-4677-9602-b3789e59a4b1,L3,blue,BC%7BD,date,,E%5DAO,formula,number,52.5,GDGQ,select,dfbc5b84-5963-4a7b-a956-031282c6f02e,ECE,red,J%3AF%5B,rich_text,[],JjGy,number,3.5,L~%5D%3E,select,d6d80cdc-2ace-4648-91f9-0659634fdb28,Cours à préparer,yellow,Ox~q,formula,string,,Qv%5Dw,people,[],S%5E%3Ed,status,2882bc4e-da9f-4eb2-a695-c9b64a3c9899,Pas commencé,default,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,56939683-8650-4d96-91e1-0a9d1d1f4a13,Moyenne,yellow,%60_Pc,number,15,dF%3AB,select,e2ed5c32-9f2f-4c45-a567-486e828fa690,False,brown,hjFQ,date,2025-08-12,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': 'Mathématiques pour l’informatique session 5', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Mathématiques pour l’informatique session 5', 'href': None}]",,,,,,
